id;Kanji;Strokes;JLPT-test;"Name of Radical";"Reading within Joyo";"Reading beyond Joyo"
137;何;7;5;"Hito, Ninben, Hitoyane";カ、なに、[なん];いず
907;十;2;5;Juu;ジュウ、ジッ、とお、と;
1166;千;3;5;Juu;セン、ち;
1167;川;3;5;Magarigawa;セン、かわ;
1170;先;6;5;Hitoashi;セン、さき;ま
661;国;8;5;Kunigamae;コク、くに;
670;今;4;5;"Hito, Ninben, Hitoyane";コン、キン、いま;
926;出;5;5;Ukebako;シュツ、[スイ]、で-る、だ-す;
682;左;5;5;"E, Takumihen";サ、ひだり;
1197;前;9;5;"Katana, Rittoo";ゼン、まえ;セン、さき、ざき
432;金;8;5;"Kane, Kanehen";キン、コン、かね、[かな];こがね
946;書;10;5;Hirabi;ショ、か-く;
1971;友;4;5;Mata;ユウ、とも;ウ
1716;百;6;5;Shiro;ヒャク;もも
952;女;3;5;"Onna, Onnahen";ジョ、ニョ、[ニョウ]、おんな、め;
959;小;3;5;Shoo;ショウ、ちい-さい、こ、お;
1472;天;4;5;Dai;テン、あめ、[あま];
197;外;5;5;Yuube;ガイ、ゲ、そと、ほか、はず-す、はず-れる;ウイ
1738;父;4;5;Chichi;フ、ちち;
1483;電;13;5;"Ame, Amekanmuri";デン;
1493;土;3;5;"Tsuchi, Tsuchihen";ド、ト、つち;ツ
1504;東;8;5;"Ki, Kihen";トウ、ひがし;あずま
226;学;8;5;"Ko, Kohen";ガク、まな-ぶ;
2022;来;7;5;"Ki, Kihen";ライ、く-る、きた-る、きた-す;き、ぎ
744;三;3;5;Ichi;サン、み、み-つ、みっ-つ;
745;山;3;5;"Yama, Yamahen";サン、やま;セン、ゼン
1009;上;3;5;Ichi;ジョウ、[ショウ]、うえ、[うわ]、かみ、あ-げる、あ-がる、のぼ-る、のぼ-せる、のぼ-す;
760;子;3;5;"Ko, Kohen";シ、ス、こ;み、ね
1785;分;4;5;"Katana, Rittoo";ブン、フン、ブ、わ-ける、わ-かれる、わ-かる、わ-かつ;
1787;聞;14;5;"Mimi, Mimihen";ブン、モン、き-く、き-こえる;
767;四;5;5;Kunigamae;シ、よ、よ-つ、よっ-つ、よん;
1536;同;6;4;"Kuchi, Kuchihen";ドウ、おな-じ;
514;犬;4;4;"Inu, Kemonohen";ケン、いぬ;
771;死;6;4;Kabanehen;シ、し-ぬ;
1539;動;11;4;Chikara;ドウ、うご-く、うご-かす;
1540;堂;11;4;"Tsuchi, Tsuchihen";ドウ;
1029;色;6;4;Iro;ショク、シキ、いろ;
1285;多;6;4;Yuube;タ、おお-い;
6;悪;11;4;"Kokoro, Risshinben, Shitagokoro";アク、オ、わる-い;
1542;道;12;4;Shinnyoo;ドウ、[トウ]、みち;い
519;建;9;4;Ennyoo;ケン、[コン]、た-てる、た-つ;
520;研;9;4;"Ishi, Ishihen";ケン、と-ぐ;みが
776;私;7;4;"Nogi, Nogihen";シ、わたくし、わたし;
777;使;8;4;"Hito, Ninben, Hitoyane";シ、つか-う;
2057;旅;10;4;"Hoo, Hoohen";リョ、たび;
779;始;8;4;"Onna, Onnahen";シ、はじ-める、はじ-まる;
12;安;6;4;Ukanmuri;アン、やす-い;
780;姉;8;4;"Onna, Onnahen";シ、あね;
1549;特;10;4;"Ushi, Ushihen";トク;
1805;別;7;4;"Katana, Rittoo";ベツ、わか-れる;
15;以;5;4;"Hito, Ninben, Hitoyane";イ;もち、ゆえ、も
1295;体;7;4;"Hito, Ninben, Hitoyane";タイ、テイ、からだ;
2063;料;10;4;Tomasu;リョウ;
785;思;9;4;"Kokoro, Risshinben, Shitagokoro";シ、おも-う;
1041;心;4;4;"Kokoro, Risshinben, Shitagokoro";シン、こころ;
1297;待;9;4;Gyooninben;タイ、ま-つ;
19;医;7;4;Kakushigamae;イ;
276;漢;13;4;"Mizu, Sanzui, Shitamizu";カン;
790;紙;10;4;"Ito, Itohen";シ、かみ;
1816;勉;10;4;Chikara;ベン;つと
1817;歩;8;4;Tomeru;ホ、ブ、[フ]、ある-く、あゆ-む;
2074;力;2;4;Chikara;リョク、リキ、ちから;つと
1307;貸;12;4;"Kai, Kaihen";タイ、か-す;
285;館;16;4;"Shoku, Shokuhen";カン、やかた;たち、たて、だて
797;試;13;4;"Gon, Gonben";シ、こころ-みる、ため-す;
543;験;18;4;"Uma, Umahen";ケン、[ゲン];しるし
1056;真;10;4;"Me, Mehen";シン、ま;
33;意;13;4;"Kokoro, Risshinben, Shitagokoro";イ;
545;元;4;4;Hitoashi;ゲン、ガン、もと;はじ
1313;代;5;4;"Hito, Ninben, Hitoyane";ダイ、タイ、か-わる、か-える、よ、しろ;
1314;台;5;4;"Kuchi, Kuchihen";ダイ、タイ;うてな
548;言;7;4;"Gon, Gonben";ゲン、ゴン、い-う、こと;
1316;題;18;4;Oogai;ダイ;
1829;方;4;4;"Hoo, Hoohen";ホウ、かた;まさ、あ
807;字;6;4;"Ko, Kohen";ジ、あざ;
1065;新;13;4;"Kin, Onozukuri";シン、あたら-しい、あら-た、にい;
810;耳;6;4;"Mimi, Mimihen";ジ、みみ;
811;自;6;4;Mizukara;ジ、シ、みずか-ら;おのずか、おの、よ
1069;親;16;4;Miru;シン、おや、した-しい、した-しむ;ちか
1581;肉;6;4;"Niku, Nikuzuki";ニク;
814;事;8;4;Haneboo;ジ、[ズ]、こと;シ、つか
559;古;5;4;"Kuchi, Kuchihen";コ、ふる-い、ふる-す;いにしえ
817;持;9;4;Tehen;ジ、も-つ;チ
51;員;10;4;"Kuchi, Kuchihen";イン;
52;院;10;4;Kozatohen;イン;エン
55;飲;12;4;"Shoku, Shokuhen";イン、の-む;
1080;図;7;4;Kunigamae;ズ、ト、はか-る;
317;起;10;4;"Hashiru, Soonyoo";キ、お-きる、お-こる、お-こす;た
320;帰;10;4;"Haba, Kinben";キ、かえ-る、かえ-す;
832;室;9;4;Ukanmuri;シツ、むろ;
66;運;12;4;Shinnyoo;ウン、はこ-ぶ;
70;英;8;4;Kusakanmuri;エイ;はなぶさ、はな
838;質;15;4;"Kai, Kaihen";シツ、シチ、[チ];ただ
71;映;9;4;"Nichi, Nichihen";エイ、うつ-る、うつ-す、は-える;
841;写;5;4;Wakanmuri;シャ、うつ-す、うつ-る;
842;社;7;4;"Shimesu, Shimesuhen";シャ、やしろ;
587;口;3;4;"Kuchi, Kuchihen";コウ、ク、くち;
1355;地;6;4;"Tsuchi, Tsuchihen";チ、ジ;
588;工;3;4;"E, Takumihen";コウ、ク;たくみ
845;者;8;4;Oikanmuri;シャ、もの;
1357;知;8;4;"Ya, Yahen";チ、し-る;
1105;世;5;4;Ichi;セイ、セ、よ;
82;駅;14;4;"Uma, Umahen";エキ;
594;広;5;4;Madare;コウ、ひろ-い、ひろ-まる、ひろ-める、ひろ-がる、ひろ-げる;
1106;正;5;4;Tomeru;セイ、ショウ、ただ-しい、ただ-す、まさ;
1622;売;7;4;Samurai;バイ、う-る、う-れる;マイ、メ
856;借;10;4;"Hito, Ninben, Hitoyane";シャク、か-りる;
602;考;6;4;Oikanmuri;コウ、かんが-える;
1115;青;8;4;"Ao, Aohen";セイ、[ショウ]、あお、あお-い;
1628;買;12;4;"Kai, Kaihen";バイ、か-う;
1373;茶;9;4;Kusakanmuri;チャ、サ;タ
1374;着;12;4;Hitsuji;チャク、[ジャク]、き-る、き-せる、つ-く、つ-ける;
863;手;4;4;Te;シュ、て、[た];ズ
864;主;5;4;Ten;シュ、[ス]、ぬし、おも;あるじ
1383;注;8;4;"Mizu, Sanzui, Shitamizu";チュウ、そそ-ぐ;つ
1384;昼;9;4;"Nichi, Nichihen";チュウ、ひる;
1896;妹;8;4;"Onna, Onnahen";マイ、いもうと;
1649;発;9;4;Hatsugashira;ハツ、ホツ;
370;究;7;4;"Ana, Anakanmuri";キュウ、きわ-める;ク
1138;夕;3;4;Yuube;セキ、ゆう;
372;急;9;4;"Kokoro, Risshinben, Shitagokoro";キュウ、いそ-ぐ;
1396;町;7;4;"Ta, Tahen";チョウ、まち;
1141;赤;7;4;Aka;セキ、[シャク]、あか、あか-い、あか-らむ、あか-らめる;
119;屋;9;4;Shikabane;オク、や;
1911;味;8;4;"Kuchi, Kuchihen";ミ、あじ、あじ-わう;
891;秋;9;4;"Nogi, Nogihen";シュウ、あき;
381;牛;4;4;"Ushi, Ushihen";ギュウ、うし;ゴ
1405;鳥;11;4;Tori;チョウ、とり;
382;去;5;4;Mu;キョ、コ、さ-る;
1406;朝;12;4;"Tsuki, Tsukihen";チョウ、あさ;
127;音;9;4;Oto;オン、イン、おと、ね;
895;終;11;4;"Ito, Itohen";シュウ、お-わる、お-える;つい
897;習;11;4;Hane;シュウ、なら-う;
898;週;11;4;Shinnyoo;シュウ;
1154;切;4;4;"Katana, Rittoo";セツ、[サイ]、き-る、き-れる;
901;集;12;4;Furutori;シュウ、あつ-まる、あつ-める、つど-う;
391;魚;11;4;"Uo, Uohen";ギョ、うお、さかな;
1672;飯;12;4;"Shoku, Shokuhen";ハン、めし;いい
1928;明;8;4;"Nichi, Nichihen";メイ、ミョウ、あ-かり、あか-るい、あか-るむ、あか-らむ、あき-らか、あ-ける、あ-く、あ-くる、あ-かす;ミン
138;花;7;4;Kusakanmuri;カ、はな;ケ、ゲ、あや
398;京;8;4;Nabebuta;キョウ、ケイ;キン
910;住;7;4;"Hito, Ninben, Hitoyane";ジュウ、す-む、す-まう;
912;重;9;4;"Sato, Satohen";ジュウ、チョウ、え、おも-い、かさ-ねる、かさ-なる;
146;夏;10;4;Suinyoo;カ、[ゲ]、なつ;
147;家;10;4;Ukanmuri;カ、ケ、いえ、や;
662;黒;11;4;Kuro;コク、くろ、くろ-い;
1430;通;10;4;Shinnyoo;ツウ、[ツ]、とお-る、とお-す、かよ-う;ドウ
410;強;11;4;"Yumi, Yumihen";キョウ、ゴウ、つよ-い、つよ-まる、つよ-める、し-いる;こわ、ごわ
411;教;11;4;Nobun;キョウ、おし-える、おそ-わる;し
1947;目;5;4;"Me, Mehen";モク、[ボク]、め、[ま];
159;歌;14;4;Akubi;カ、うた、うた-う;
1951;問;11;4;"Kuchi, Kuchihen";モン、と-う、と-い、[とん];
1440;弟;7;4;"Yumi, Yumihen";テイ、[ダイ]、[デ]、おとうと;
1953;夜;8;4;Yuube;ヤ、よ、よる;
930;春;9;4;"Nichi, Nichihen";シュン、はる;
1954;野;11;4;"Sato, Satohen";ヤ、の;
422;業;13;4;"Ki, Kihen";ギョウ、ゴウ、わざ;
167;画;8;4;"Ta, Tahen";ガ、カク;エ、えが
175;会;6;4;"Hito, Ninben, Hitoyane";カイ、エ、あ-う;ケ
431;近;7;4;Shinnyoo;キン、ちか-い;ゴン、コン
1460;的;8;4;Shiro;テキ、まと;
1972;有;6;4;"Tsuki, Tsukihen";ユウ、ウ、あ-る;ま
182;海;9;4;"Mizu, Sanzui, Shitamizu";カイ、うみ;
183;界;9;4;"Ta, Tahen";カイ;さかい
187;開;12;4;Mongamae;カイ、ひら-く、ひら-ける、あ-く、あ-ける;
444;銀;14;4;"Kane, Kanehen";ギン;
1726;病;10;4;Yamaidare;ビョウ、[ヘイ]、や-む、やまい;うれ
961;少;4;4;Shoo;ショウ、すく-ない、すこ-し;
1729;品;9;4;"Kuchi, Kuchihen";ヒン、しな;ホン、ポン、ボン
1474;店;8;4;Madare;テン、みせ;たな、だな
1219;早;6;4;"Nichi, Nichihen";ソウ、[サッ]、はや-い、はや-まる、はや-める;さ
452;空;8;4;"Ana, Anakanmuri";クウ、そら、あ-く、あ-ける、から;むな
1221;走;7;4;"Hashiru, Soonyoo";ソウ、はし-る;
1478;転;11;4;"Kuruma, Kurumahen";テン、ころ-がる、ころ-げる、ころ-がす、ころ-ぶ;うた
1480;田;5;4;"Ta, Tahen";デン、た;かり、がり
1736;不;4;4;Fu;フ、ブ;
1992;用;5;4;Mochiiru;ヨウ、もち-いる;ユウ
1226;送;9;4;Shinnyoo;ソウ、おく-る;
1995;洋;9;4;"Mizu, Sanzui, Shitamizu";ヨウ;
723;作;7;4;"Hito, Ninben, Hitoyane";サク、サ、つく-る;
469;兄;5;4;Hitoashi;ケイ、[キョウ]、あに;
1496;度;9;4;Madare;ド、[ト]、[タク]、たび;わた、た
1499;冬;5;4;Suinyoo;トウ、ふゆ;
2012;曜;18;4;"Nichi, Nichihen";ヨウ;
478;計;9;4;"Gon, Gonben";ケイ、はか-る、はか-らう;ケ、ゲ
228;楽;13;4;"Ki, Kihen";ガク、ラク、たの-しい、たの-しむ;
1764;風;9;4;Kaze;フウ、[フ]、かぜ、[かざ];
1766;服;8;4;"Tsuki, Tsukihen";フク;
1263;足;7;4;"Ashi, Ashihen";ソク、あし、た-りる、た-る、た-す;ス
1777;物;8;4;"Ushi, Ushihen";ブツ、モツ、もの;
1524;答;12;4;"Take, Takekanmuri";トウ、こた-える、こた-え;
2038;理;11;4;"Tama, Oo";リ;
1272;族;11;4;"Hoo, Hoohen";ゾク;
762;止;4;4;Tomeru;シ、と-まる、と-める;や
1786;文;4;4;Bun;ブン、モン、ふみ;あや、もじ
764;仕;5;4;"Hito, Ninben, Hitoyane";シ、[ジ]、つか-える;
1020;場;12;4;"Tsuchi, Tsuchihen";ジョウ、ば;
2045;立;5;4;Tatsu;リツ、[リュウ]、た-つ、た-てる;
768;市;5;3;"Haba, Kinben";シ、いち;か、が
2050;流;10;3;"Mizu, Sanzui, Shitamizu";リュウ、[ル]、なが-れる、なが-す;
515;件;6;3;"Hito, Ninben, Hitoyane";ケン;
1795;閉;11;3;Mongamae;ヘイ、と-じる、と-ざす、し-める、し-まる;
2051;留;10;3;"Ta, Tahen";リュウ、[ル]、と-める、と-まる;
4;愛;13;3;"Kokoro, Risshinben, Shitagokoro";アイ;オ、いと、め
1284;他;5;3;"Hito, Ninben, Hitoyane";タ、ほか;
263;寒;12;3;Ukanmuri;カン、さむ-い;
1287;打;5;3;Tehen;ダ、う-つ;チョウ
1543;働;13;3;"Hito, Ninben, Hitoyane";ドウ、はたら-く;
521;県;9;3;"Me, Mehen";ケン;あがた、か、が
1801;米;6;3;"Kome, Komehen";ベイ、マイ、こめ;よね
1293;太;4;3;Dai;タイ、タ、ふと-い、ふと-る;
2061;両;6;3;Ichi;リョウ;
14;暗;13;3;"Nichi, Nichihen";アン、くら-い;
1038;職;18;3;"Mimi, Mimihen";ショク;
1294;対;7;3;Sun;タイ、ツイ;
1550;得;11;3;Gyooninben;トク、え-る、う-る;
2062;良;7;3;Kon;リョウ、よ-い;ロウ
528;険;11;3;Kozatohen;ケン、けわ-しい;
17;位;7;3;"Hito, Ninben, Hitoyane";イ、くらい;
1809;返;7;3;Shinnyoo;ヘン、かえ-す、かえ-る;
786;指;9;3;Tehen;シ、ゆび、さ-す;
1042;申;5;3;"Ta, Tahen";シン、もう-す;さる
1810;変;9;3;Suinyoo;ヘン、か-わる、か-える;
275;感;13;3;"Kokoro, Risshinben, Shitagokoro";カン;
788;師;10;3;"Haba, Kinben";シ;
1300;退;9;3;Shinnyoo;タイ、しりぞ-く、しりぞ-ける;び
277;慣;14;3;"Kokoro, Risshinben, Shitagokoro";カン、な-れる、な-らす;
1046;身;7;3;Mi;シン、み;
279;関;14;3;Mongamae;カン、せき、かか-わる;
1559;突;8;3;"Ana, Anakanmuri";トツ、つ-く;
1815;便;9;3;"Hito, Ninben, Hitoyane";ベン、ビン、たよ-り;
536;権;15;3;"Ki, Kihen";ケン、[ゴン];
1049;信;9;3;"Hito, Ninben, Hitoyane";シン;の
795;歯;12;3;"Ha, Hahen";シ、は;
1051;神;9;3;"Shimesu, Shimesuhen";シン、ジン、かみ、[かん]、[こう];
1820;捕;10;3;Tehen;ホ、と-らえる、と-らわれる、と-る、つか-まえる、つか-まる;
2076;林;8;3;"Ki, Kihen";リン、はやし;
30;偉;12;3;"Hito, Ninben, Hitoyane";イ、えら-い;
799;資;13;3;"Kai, Kaihen";シ;もと
288;観;18;3;Miru;カン;み
34;違;13;3;Shinnyoo;イ、ちが-う、ちが-える;たが
1058;深;11;3;"Mizu, Sanzui, Shitamizu";シン、ふか-い、ふか-まる、ふか-める;み
1570;内;4;3;"Hito, Ninben, Hitoyane";ナイ、[ダイ]、うち;ノウ、い
1827;暮;14;3;"Nichi, Nichihen";ボ、く-れる、く-らす;
1060;進;11;3;Shinnyoo;シン、すす-む、すす-める;
1061;森;12;3;"Ki, Kihen";シン、もり;
550;限;9;3;Kozatohen;ゲン、かぎ-る;
806;示;5;3;"Shimesu, Shimesuhen";ジ、シ、しめ-す;
1318;宅;6;3;Ukanmuri;タク;
2086;類;18;3;Oogai;ルイ、たぐ-い;
551;原;10;3;Gandare;ゲン、はら;
1063;寝;13;3;Ukanmuri;シン、ね-る、ね-かす;
40;育;8;3;"Niku, Nikuzuki";イク、そだ-つ、そだ-てる、はぐく-む;
552;現;11;3;"Tama, Oo";ゲン、あらわ-れる、あらわ-す;うつつ
1576;難;18;3;Furutori;ナン、かた-い、むずか-しい;ナ
2088;礼;5;3;"Shimesu, Shimesuhen";レイ、ライ;あや
809;次;6;3;Akubi;ジ、シ、つ-ぐ、つぎ;と
2089;冷;7;3;Nisui;レイ、つめ-たい、ひ-える、ひ-や、ひ-やす、ひ-やかす、さ-める、さ-ます;
299;顔;18;3;Oogai;ガン、かお;
1835;抱;8;3;Tehen;ホウ、だ-く、いだ-く、かか-える;
2091;戻;7;3;"To, Tokanmuri";レイ、もど-す、もど-る;
300;願;19;3;Oogai;ガン、ねが-う;
812;似;7;3;"Hito, Ninben, Hitoyane";ジ、に-る;
1836;放;8;3;Nobun;ホウ、はな-す、はな-つ、はな-れる、ほう-る;いた
2092;例;8;3;"Hito, Ninben, Hitoyane";レイ、たと-える;
1837;法;8;3;"Mizu, Sanzui, Shitamizu";ホウ、[ハッ]、[ホッ];のっと、のり
46;引;4;3;"Yumi, Yumihen";イン、ひ-く、ひ-ける;
303;危;6;3;"Fushizukuri, Warifu";キ、あぶ-ない、あや-うい、あや-ぶむ;
48;因;6;3;Kunigamae;イン、よ-る;ちな
560;呼;8;3;"Kuchi, Kuchihen";コ、よ-ぶ;
816;治;8;3;"Mizu, Sanzui, Shitamizu";ジ、チ、おさ-める、おさ-まる、なお-る、なお-す;
1328;達;12;3;Shinnyoo;タツ;ダチ、ダッ
1587;任;6;3;"Hito, Ninben, Hitoyane";ニン、まか-せる、まか-す;
821;辞;13;3;Karai;ジ、や-める;
1845;訪;11;3;"Gon, Gonben";ホウ、おとず-れる、たず-ねる;と
2101;列;6;3;"Katana, Rittoo";レツ;つら
1590;認;14;3;"Gon, Gonben";ニン、みと-める;したた
1846;報;12;3;"Tsuchi, Tsuchihen";ホウ、むく-いる;し
1336;単;9;3;Tsukanmuri;タン;ひとえ
1592;熱;15;3;"Hi, Hihen, Renga";ネツ、あつ-い;
826;式;6;3;Shikigamae;シキ;ショク、のり
1082;吹;7;3;"Kuchi, Kuchihen";スイ、ふ-く;
1594;念;8;3;"Kokoro, Risshinben, Shitagokoro";ネン;
2106;連;10;3;Shinnyoo;レン、つら-なる、つら-ねる、つ-れる;
827;識;19;3;"Gon, Gonben";シキ;
1339;探;11;3;Tehen;タン、さぐ-る、さが-す;
316;記;10;3;"Gon, Gonben";キ、しる-す;
1852;亡;3;3;Nabebuta;ボウ、[モウ]、な-い;ほろ
1341;短;12;3;"Ya, Yahen";タン、みじか-い;
1854;忙;6;3;"Kokoro, Risshinben, Shitagokoro";ボウ、いそが-しい;
831;失;5;3;Dai;シツ、うしな-う;
1600;能;10;3;"Niku, Nikuzuki";ノウ;ノ、あた、よ、た
577;互;4;3;Ni;ゴ、たが-い;
1857;忘;7;3;"Kokoro, Risshinben, Shitagokoro";ボウ、わす-れる;
2113;路;13;3;"Ashi, Ashihen";ロ、じ;ル、みち
322;寄;11;3;Ukanmuri;キ、よ-る、よ-せる;
323;規;11;3;Miru;キ;ぶんまわし、のり、ただ
2115;老;6;3;Oikanmuri;ロウ、お-いる、ふ-ける;
2116;労;7;3;Chikara;ロウ;いたわ、ねぎら
69;泳;8;3;"Mizu, Sanzui, Shitamizu";エイ、およ-ぐ;
325;喜;12;3;"Kuchi, Kuchihen";キ、よろこ-ぶ;
1349;段;9;3;Rumata;ダン;タン
1350;断;11;3;"Kin, Onozukuri";ダン、た-つ、ことわ-る;
839;実;8;3;Ukanmuri;ジツ、み、みの-る;
1607;破;10;3;"Ishi, Ishihen";ハ、やぶ-る、やぶ-れる;わ
328;期;12;3;"Tsuki, Tsukihen";キ、[ゴ];
585;誤;14;3;"Gon, Gonben";ゴ、あやま-る;
1097;数;13;3;Nobun;スウ、[ス]、かず、かぞ-える;ジュ
1353;談;15;3;"Gon, Gonben";ダン;
1609;馬;10;3;"Uma, Umahen";バ、うま、[ま];メ
1865;望;11;3;"Tsuki, Tsukihen";ボウ、モウ、のぞ-む;もち
1356;池;6;3;"Mizu, Sanzui, Shitamizu";チ、いけ;
1613;杯;8;3;"Ki, Kihen";ハイ、さかずき;
78;易;8;3;"Nichi, Nichihen";エキ、イ、やさ-しい;やす
1358;値;10;3;"Hito, Ninben, Hitoyane";チ、ね、あたい;ジ
1614;背;9;3;"Niku, Nikuzuki";ハイ、せ、せい、そむ-く、そむ-ける;
1359;恥;10;3;"Kokoro, Risshinben, Shitagokoro";チ、は-じる、はじ、は-じらう、は-ずかしい;
2128;論;15;3;"Gon, Gonben";ロン;
337;機;16;3;"Ki, Kihen";キ、はた;
1361;遅;12;3;Shinnyoo;チ、おく-れる、おく-らす、おそ-い;
1617;配;10;3;"Tori, Torihen";ハイ、くば-る;
2129;和;8;3;"Kuchi, Kuchihen";ワ、[オ]、やわ-らぐ、やわ-らげる、なご-む、なご-やか;カ、あ
1619;敗;11;3;Nobun;ハイ、やぶ-れる;
84;越;12;3;"Hashiru, Soonyoo";エツ、こ-す、こ-える;オチ、エチ、オッ
596;交;6;3;Nabebuta;コウ、まじ-わる、まじ-える、ま-じる、ま-ざる、ま-ぜる、か-う、か-わす;
1108;成;6;3;"Hokogamae, Hokozukuri";セイ、[ジョウ]、な-る、な-す;
1364;置;13;3;Amigashira;チ、お-く;
597;光;6;3;Hitoashi;コウ、ひか-る、ひかり;
598;向;6;3;"Kuchi, Kuchihen";コウ、む-く、む-ける、む-かう、む-こう;キョウ、さき
1110;声;7;3;Samurai;セイ、[ショウ]、こえ、[こわ];
1111;制;8;3;"Katana, Rittoo";セイ;
344;疑;14;3;Hiki;ギ、うたが-う;
600;好;6;3;"Onna, Onnahen";コウ、この-む、す-く;よしみ、よ
1114;性;8;3;"Kokoro, Risshinben, Shitagokoro";セイ、ショウ;
860;若;8;3;Kusakanmuri;ジャク、[ニャク]、わか-い、も-しくは;ニャ、か、そ
349;議;20;3;"Gon, Gonben";ギ;
861;弱;10;3;"Yumi, Yumihen";ジャク、よわ-い、よわ-る、よわ-まる、よわ-める;
1117;政;9;3;Nobun;セイ、[ショウ]、まつりごと;ただ
95;園;13;3;Kunigamae;エン、その;オン
96;煙;13;3;"Hi, Hihen, Renga";エン、けむ-る、けむり、けむ-い;
608;更;7;3;Hirabi;コウ、さら、ふ-ける、ふ-かす;が
865;守;6;3;Ukanmuri;シュ、[ス]、まも-る、も-り;
98;遠;13;3;Shinnyoo;エン、[オン]、とお-い;
610;幸;8;3;Ichijuu;コウ、さいわ-い、さち、しあわ-せ;みゆき
355;客;9;3;Ukanmuri;キャク、カク;
867;取;8;3;Mata;シュ、と-る;ス
101;演;14;3;"Mizu, Sanzui, Shitamizu";エン;
869;首;9;3;Kubi;シュ、くび;こうべ
1126;晴;12;3;"Nichi, Nichihen";セイ、は-れる、は-らす;
872;酒;10;3;"Tori, Torihen";シュ、さけ、[さか];
105;王;4;3;"Tama, Oo";オウ;
874;種;14;3;"Nogi, Nogihen";シュ、たね;
1130;精;14;3;"Kome, Komehen";セイ、[ショウ];くわ
1643;箱;15;3;"Take, Takekanmuri";はこ;
877;受;8;3;Mata;ジュ、う-ける、う-かる;
1133;静;14;3;"Ao, Aohen";セイ、[ジョウ]、しず、しず-か、しず-まる、しず-める;
110;押;8;3;Tehen;オウ、お-す、お-さえる;
